original_url,replacement_url,type
http://docs.payara.fish/schemas/payara-resources_1_8.dtd,,previous
http://examples.payara.fish/myapp,,previous
http://examples.payara.fish/myapp/*.jpg,,previous
http://examples.payara.fish/myapp/abc/def/my.jpg,,previous
http://examples.payara.fish/myapp/jpg/*,,previous
http://examples.payara.fish/myapp/jpg/abc/resource,,previous
http://examples.payara.fish/myapp/my.jpg,,previous
http://www.payara.fish/downloads,,previous
http://www.payara.fish/phonehome,,previous
https://USER:PASSWORD@example.payara.fish/repositories/repo/.,,previous
https://USER:{ALIAS=ALIAS_NAME}@example.payara.fish/repositories/repo/|,,previous
https://admin.payara.fish:4848,,previous
https://blog.payara.fish/securing-payara-server-with-custom-ssl-certificate,,previous
https://docs.payara.fish/community/docs/7.2024.1.Alpha3/Jakarta%20EE%20Certification/7.2024.1.Alpha3/7.2024.1.Alpha3%20Core%20TCK%20Results.html,,previous
https://docs.payara.fish/community/docs/7.2025.1.Beta1/Jakarta%20EE%20Certification/7.2025.1.Beta1/7.2025.1.Beta1%20Platform%20TCK%20Results.html,,previous
https://docs.payara.fish/community/docs/7.2025.1.Beta1/Jakarta%20EE%20Certification/7.2025.1.Beta1/7.2025.1.Beta1%20Web%20TCK%20Results.html,,previous
https://docs.payara.fish/community/docs/7.2025.1/Jakarta%20EE%20Certification/7.2025.1/7.2025.1%20Platform%20TCK%20Results.html,,previous
https://docs.payara.fish/community/docs/7.2025.1/Jakarta%20EE%20Certification/7.2025.1/7.2025.1%20Web%20TCK%20Results.html,,previous
https://docs.payara.fish/community/docs/7.2026.1/Jakarta%20EE%20Certification/7.2026.1/7.2026.1%20Platform%20TCK%20Results.html,,previous
https://docs.payara.fish/community/docs/7.2026.1/Jakarta%20EE%20Certification/7.2026.1/7.2026.1%20Web%20TCK%20Results.html,,previous
https://docs.payara.fish/community/docs/7.2026.2/Jakarta%20EE%20Certification/7.2026.2/7.2026.2%20Platform%20TCK%20Results.html,,previous
https://docs.payara.fish/community/docs/7.2026.2/Jakarta%20EE%20Certification/7.2026.2/7.2026.2%20Web%20TCK%20Results.html,,previous
https://docs.payara.fish/community/docs/7.2026.3/Jakarta%20EE%20Certification/7.2026.3/7.2026.3%20Platform%20TCK%20Results.html,,previous
https://docs.payara.fish/community/docs/7.2026.3/Jakarta%20EE%20Certification/7.2026.3/7.2026.3%20Web%20TCK%20Results.html,,previous
https://docs.payara.fish/community/docs/7.2026.4/Jakarta%20EE%20Certification/7.2026.4/7.2026.4%20Platform%20TCK%20Results.html,,previous
https://docs.payara.fish/community/docs/7.2026.4/Jakarta%20EE%20Certification/7.2026.4/7.2026.4%20Web%20TCK%20Results.html,,previous
https://docs.payara.fish/community/docs/7.2026.5/Jakarta%20EE%20Certification/7.2026.5/7.2026.5%20Platform%20TCK%20Results.html,,previous
https://docs.payara.fish/community/docs/7.2026.5/Jakarta%20EE%20Certification/7.2026.5/7.2026.5%20Web%20TCK%20Results.html,,previous
https://docs.payara.fish/community/docs/documentation/payara-server/app-deployment/app-deployment.html,,previous
https://docs.payara.fish/enterprise/docs/7.0.0/Jakarta%20EE%20Certification/7.0.0/7.0.0%20Platform%20TCK%20Results.html,,previous
https://docs.payara.fish/enterprise/docs/7.0.0/Jakarta%20EE%20Certification/7.0.0/7.0.0%20Web%20TCK%20Results.html,,previous
https://docs.payara.fish/schemas/payara-resources_1_8.dtd,,previous
https://nexus.payara.fish,,previous
https://nexus.payara.fish/#browse/browse:payara-enterprise-downloadable-artifacts:fish%2Fpayara%2Fextras%2Fpayara-diagnostics-tool,,previous
https://nexus.payara.fish/#browse/browse:payara-enterprise-downloadable-artifacts:fish%2Fpayara%2Fextras%2Fpayara-upgrade-tool,,previous
https://nexus.payara.fish/payara-artifacts,,previous
https://nexus.payara.fish/repository/payara-artifacts,,previous
https://nexus.payara.fish/repository/payara-artifacts/,,previous
https://nexus.payara.fish/repository/payara-artifacts/fish/payara/server/core/packager/snmp4j-repackaged/3.7.5/snmp4j-repackaged-3.7.5.jar,,previous
https://nexus.payara.fish/repository/payara-artifacts/fish/payara/testing/clusterjsp/1.1/clusterjsp-1.1.war,,previous
https://nexus.payara.fish/repository/payara-enterprise,,previous
https://nexus.payara.fish/repository/payara-enterprise-downloadable-artifacts/fish/payara/distributions/,,previous
https://nexus.payara.fish/repository/payara-enterprise-downloadable-artifacts/fish/payara/extensions/notifiers/datadog-notifier-console-plugin/2.0-enterprise/datadog-notifier-console-plugin-2.0-enterprise.jar,,previous
https://nexus.payara.fish/repository/payara-enterprise-downloadable-artifacts/fish/payara/extensions/notifiers/datadog-notifier-core/2.0-enterprise/datadog-notifier-core-2.0-enterprise.jar,,previous
https://nexus.payara.fish/repository/payara-enterprise-downloadable-artifacts/fish/payara/extensions/notifiers/discord-notifier-console-plugin/2.0-enterprise/discord-notifier-console-plugin-2.0-enterprise.jar,,previous
https://nexus.payara.fish/repository/payara-enterprise-downloadable-artifacts/fish/payara/extensions/notifiers/discord-notifier-core/2.0-enterprise/discord-notifier-core-2.0-enterprise.jar,,previous
https://nexus.payara.fish/repository/payara-enterprise-downloadable-artifacts/fish/payara/extensions/notifiers/email-notifier-console-plugin/2.0-enterprise/email-notifier-console-plugin-2.0-enterprise.jar,,previous
https://nexus.payara.fish/repository/payara-enterprise-downloadable-artifacts/fish/payara/extensions/notifiers/email-notifier-core/2.0-enterprise/email-notifier-core-2.0-enterprise.jar,,previous
https://nexus.payara.fish/repository/payara-enterprise-downloadable-artifacts/fish/payara/extensions/notifiers/newrelic-notifier-console-plugin/2.0-enterprise/newrelic-notifier-console-plugin-2.0-enterprise.jar,,previous
https://nexus.payara.fish/repository/payara-enterprise-downloadable-artifacts/fish/payara/extensions/notifiers/newrelic-notifier-core/2.0-enterprise/newrelic-notifier-core-2.0-enterprise.jar,,previous
https://nexus.payara.fish/repository/payara-enterprise-downloadable-artifacts/fish/payara/extensions/notifiers/slack-notifier-console-plugin/2.0-enterprise/slack-notifier-console-plugin-2.0-enterprise.jar,,previous
https://nexus.payara.fish/repository/payara-enterprise-downloadable-artifacts/fish/payara/extensions/notifiers/slack-notifier-core/2.0-enterprise/slack-notifier-core-2.0-enterprise.jar,,previous
https://nexus.payara.fish/repository/payara-enterprise-downloadable-artifacts/fish/payara/extensions/notifiers/snmp-notifier-console-plugin/2.0-enterprise/snmp-notifier-console-plugin-2.0-enterprise.jar,,previous
https://nexus.payara.fish/repository/payara-enterprise-downloadable-artifacts/fish/payara/extensions/notifiers/snmp-notifier-core/2.0-enterprise/snmp-notifier-core-2.0-enterprise.jar,,previous
https://nexus.payara.fish/repository/payara-enterprise-downloadable-artifacts/fish/payara/extensions/notifiers/teams-notifier-console-plugin/2.0-enterprise/teams-notifier-console-plugin-2.0-enterprise.jar,,previous
https://nexus.payara.fish/repository/payara-enterprise-downloadable-artifacts/fish/payara/extensions/notifiers/teams-notifier-core/2.0-enterprise/teams-notifier-core-2.0-enterprise.jar,,previous
https://start.payara.fish,,previous
https://support.payara.fish/hc/en-gb/articles/203619992-Payara-Enterprise-Download-Guide,,previous
https://www.payara.fish/downloads/payara-platform-community-edition,,previous
https://www.payara.fish/downloads/payara-platform-enterprise-edition,,previous
https://www.payara.fish/enterprise/,,previous
https://www.payara.fish/learn/getting-started-with-payara/,,previous
